File Name,Total Faces,Curved Faces,Total Edges,Vertices,Bounding Box Volume,Mean Curvature,Curvature Std Dev,Volume,Hole Count,Criteria Met
00009889.step,57,16,326,652,118093.3439743555,-0.057852426255521165,0.11219732684629338,31819.94829783134,14,8
00009891.step,19,6,102,204,4320.000208800004,-0.06340852130325815,0.10954072694427186,2289.5292864324892,6,8
00009900.step,117,43,710,1420,787965.6267252145,-0.0768595812953443,0.1594255576120961,75176.25461051076,27,7
00009902.step,152,15,898,1796,100349.92131351202,-0.023518704714083606,0.08084072359140261,48288.90755171593,15,7
00009904.step,44,18,236,472,165462.32678793048,-0.07753889900853622,0.11174352353018746,52142.72726477358,16,8
00009910.step,62,21,360,720,74309.59625482585,-0.01742932374426372,0.06581463857269118,22910.467262903956,11,8
00009911.step,49,13,284,568,74309.59625482582,-0.0287955209787267,0.05568003627673195,22739.124923126354,12,8
00009913.step,37,15,210,420,11088.000338400005,-0.016960421767999213,0.2139357045834466,4214.271852979086,6,7
00009939.step,32,17,166,332,17255.00042060001,-0.10001099030708527,0.11829250277614606,5173.767592810658,17,8
00009940.step,28,12,136,272,13481.041504116514,-0.09910650827495178,0.1292314056170227,7130.427997380755,12,8
00009955.step,87,29,470,940,106904.21909315226,-0.052270763254141143,0.0911495967810674,14363.502052479758,25,8
00009956.step,32,18,226,452,8000.000240006129,-0.08675423095961848,0.10603809308258107,3631.972130928471,12,8
00009964.step,80,40,456,912,134565.91976636247,-0.09574842816242898,0.11300906594930787,19851.48266861522,38,8
00009985.step,894,749,4279,8558,18634.699104022573,-1.4819303993540829,1.133368522504977,5341.73319404063,295,1
00009990.step,119,87,527,1054,683584.3545986998,-0.21010176708319395,0.22704009556225574,71825.84020060333,24,4
00509443.step,179,126,923,1846,15628.257530513121,-0.3588352220146201,0.39063529628323057,3064.99781074009,46,4
00509444.step,82,41,484,968,10330.491601813947,-0.10687938390961499,0.14291697399994527,4724.550456221893,39,8
00509447.step,103,63,612,1224,22957.983337462192,-0.11931707446069408,0.12789213041737107,3925.604119277261,41,7
00509520.step,36,18,204,408,129600.00891308741,-0.03178589548452562,0.041599548087034546,50865.521840124966,18,8
00509541.step,169,120,920,1840,102831.05532840537,-0.21976803649713345,0.40109673219161357,27211.965614509412,78,3
00509579.step,3557,0,18780,37560,106080.2691219389,0.0,0.0,23840.218722450245,0,1
00509583.step,6,4,24,48,80.12550670386956,-0.08902710971370958,0.11403843359922847,46.938252138602664,4,4
00509603.step,82,21,484,968,200475.0021870001,-0.011987341130095794,0.02714397363588512,66365.46942018901,21,7
00509609.step,8,6,28,56,9217.723766128503,-0.03920199957082843,0.025419390688173046,3964.073950480429,2,4
00509711.step,7,1,30,60,954.6728259391949,-0.14285714285714285,0.34992710611188266,952.7092233805165,1,2
00509712.step,25,12,134,268,210576.00229820018,-0.039644380565775614,0.052704081180151005,75992.22993007168,11,7
00509729.step,12,7,58,116,331250.00315008045,-0.018965437874937725,0.01867083759170601,157478.90183482884,4,5
00509745.step,0,0,1,2,20387.949922779986,,,0.0,0,1
00509765.step,4,2,12,24,30989.41959985889,-0.026707149082117455,0.027095682514170754,9377.466811552938,2,4
00509817.step,62,23,308,616,1476943.7556615926,-0.014479148017939356,0.029628334867531164,356655.84913403506,8,7
00509843.step,38,19,192,384,2430.0001498500023,-0.2182017543859649,0.3735381118320782,556.4956840901817,19,6
00509844.step,42,12,240,480,3840.0001664000033,-0.09027777777777776,0.15259729599264882,843.8192455187814,12,8
00509846.step,16,9,72,144,1600.0001200000029,-0.1140625,0.1301531132908681,1358.4522194430806,9,7
00509850.step,29,16,162,324,3331.9794144855214,-0.11819835552253635,0.14699408541181766,1628.6231561018255,12,8
00509854.step,12,7,50,100,6761.892778335127,-0.12713422953272815,0.2117252666499215,184.74120770435135,5,6
00509855.step,22,8,108,216,13720.000516600006,-0.08068007261555649,0.10883316576537881,6536.992074713936,8,8
00509919.step,548,470,2558,5116,99515.0856632754,-0.2166593567940142,0.45599437958381606,20411.473625112823,143,1
00509983.step,30,20,146,292,591300.8222897777,-0.15713752153876462,0.17396306991703586,199718.09618815378,14,6
00509995.step,149,97,790,1580,2182245.907124409,-0.0800303179077335,0.08762980396145999,966928.7385859849,78,5
