File Name,Total Faces,Curved Faces,Total Edges,Vertices,Bounding Box Volume,Mean Curvature,Curvature Std Dev,Volume,Hole Count,size,ispart,Criteria Met,Class
00509850.step,29,16,162,324,3331.979414,-0.118198356,0.146994085,1628.623156,12,79.12597656,1,10,0
00509854.step,12,7,50,100,6761.892778,-0.12713423,0.211725267,184.7412077,5,23.90234375,1,8,0
00509855.step,22,8,108,216,13720.00052,-0.080680073,0.108833166,6536.992075,8,47.703125,1,10,0
00509983.step,30,20,146,292,591300.8223,-0.157137522,0.17396307,199718.0962,14,78.16699219,1,8,0
00006033.step,48,32,238,476,14553.00037,-0.165812195,0.160303691,2890.132475,31,105.1269531,1,9,1
00006093.step,62,30,328,656,18417.60696,-0.232282986,0.346353706,4347.68619,26,177.0654297,1,8,1
00006107.step,1,0,4,8,2631.710641,0,0,7.97E-13,0,276.5292969,0,2,1
00006263.step,117,72,616,1232,34294.48384,-1.622552681,2.208507517,9285.589864,48,282.7167969,1,7,1
00006305.step,116,85,580,1160,487955.4998,-0.156587592,0.166820968,124134.853,52,455.0898438,1,7,1
00006684.step,61,44,300,600,19262.7142,-0.695410803,0.666025514,8237.964295,31,162.8691406,1,8,1
00009679.step,169,97,848,1696,1298187.641,-0.072704777,0.137158992,200166.3565,73,578.4228516,1,6,1
00009723.step,401,274,2062,4124,128354.436,-0.256554659,0.383641323,16158.41221,120,1788.537109,1,3,1
00009810.step,216,111,1356,2712,626030.7316,-0.129896017,0.137465296,34595.41772,107,583.6074219,1,5,1
00009812.step,136,81,1034,2068,16425.90875,0.126635539,0.265913586,3345.970108,0,647.2519531,1,6,1
00009868.step,43,7,244,488,8547.000266,-0.024029595,0.061380134,5598.490959,6,103.7285156,1,10,1
00009869.step,36,4,204,408,6012.500206,-0.01712963,0.051704901,3597.446007,4,84.93945313,1,9,1
00009889.step,57,16,326,652,118093.344,-0.057852426,0.112197327,31819.9483,14,135.2041016,1,10,1
00009891.step,19,6,102,204,4320.000209,-0.063408521,0.109540727,2289.529286,6,45.41015625,1,10,1
00009900.step,117,43,710,1420,787965.6267,-0.076859581,0.159425558,75176.25461,27,414.1298828,1,9,1
00009902.step,152,15,898,1796,100349.9213,-0.023518705,0.080840724,48288.90755,15,383.0322266,1,9,1
00009910.step,62,21,360,720,74309.59625,-0.017429324,0.065814639,22910.46726,11,154.6367188,1,10,1
00009911.step,49,13,284,568,74309.59625,-0.028795521,0.055680036,22739.12492,12,117.53125,1,10,1
00009956.step,32,18,226,452,8000.00024,-0.086754231,0.106038093,3631.972131,12,101.8251953,1,10,1
00009985.step,894,749,4279,8558,18634.6991,-1.481930399,1.133368523,5341.733194,295,4214.427734,1,3,1
00500166.step,18,9,100,200,10477.46931,-0.101696451,0.117370191,6813.204435,9,64.90332031,1,10,1
00509443.step,179,126,923,1846,15628.25753,-0.358835222,0.390635296,3064.997811,46,615.140625,1,6,1
00509444.step,82,41,484,968,10330.4916,-0.106879384,0.142916974,4724.550456,39,222.2451172,1,10,1
00509447.step,103,63,612,1224,22957.98334,-0.119317074,0.12789213,3925.604119,41,288.1142578,1,9,1
00509541.step,169,120,920,1840,102831.0553,-0.219768036,0.401096732,27211.96561,78,665.1582031,1,5,1
00509919.step,548,470,2558,5116,99515.08566,-0.216659357,0.45599438,20411.47363,143,2747.135742,1,3,1
00509995.step,149,97,790,1580,2182245.907,-0.080030318,0.087629804,966928.7386,78,352.1660156,1,7,1
